v182caes,original_v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
1300,1300,Fabricación de productos textiles,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",123797.1,123797.1,8.28,1.02,8.47,100.0,0.0,1.0,4.04,1.46,49.88,23.59,54.0
1400,1400,Confección de prendas de vestir,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",390050.97,390050.97,8.14,0.78,8.16,100.0,0.0,2.84,3.72,1.53,62.2,19.3,62.0
1501,1501,Curtido y terminación de cueros,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",10128.66,10128.66,8.71,0.3,8.63,100.0,0.0,11.64,4.17,1.61,56.66,19.56,52.0
1502,1502,Fabricación de calzado y sus partes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",55664.98,55664.98,8.27,0.68,8.28,100.0,0.0,5.84,4.14,1.4,40.78,18.78,37.5
1600,1600,Producción de madera y materiales de construcción,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",9913.0,9913.0,8.37,0.79,8.06,100.0,0.0,2.8,4.31,1.9,29.18,14.26,28.0
1700,1700,Fabricación de papel y productos de papel,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",18324.69,18324.69,8.8,0.21,8.7,100.0,0.0,0.0,3.49,0.9,51.32,13.07,49.5
1800,1800,Actividades de impresión,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",20574.77,20574.77,8.72,0.39,8.98,100.0,0.0,0.0,6.83,1.55,34.73,9.13,37.0
1900,1900,Fabricación de coque y de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
1902,1902,Fabricación de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3030.47,3030.47,6.7,0.0,6.7,100.0,0.0,32.24,3.0,0.0,59.0,0.0,59.0
2000,2000,Fabricación de Sustancias y Productos Químicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1925.0,1925.0,10.39,0.0,10.39,100.0,0.0,0.0,9.0,0.0,46.0,0.0,46.0
