v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
12000,Profesionales científicos e intelectuales,2. Profesionales,1. Trabajadores  no manuales,"(0.271347, 0.040922, 0.411976, 1.0)",#DF8F44,#cccccc,16698.85,16698.85,9.22,0.51,8.61,100.0,0.0,100.0,9.0,0.0,32.59,1.62,34.5
12100,Prof. ciencia e ingeniería,2. Profesionales,1. Trabajadores  no manuales,"(0.284321, 0.043933, 0.416608, 1.0)",#DF8F44,#cccccc,5006.61,5006.61,,,,100.0,0.0,100.0,,,,,
12111,Físicos y astrónomos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12112,Meteorólogos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,735.0,735.0,9.54,0.0,9.54,100.0,0.0,0.0,7.88,0.99,42.74,10.43,41.5
12113,Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,9068.35,9068.35,8.08,0.92,9.11,100.0,0.0,38.36,7.93,1.0,43.74,15.92,54.0
12114,Geólogos y geofísicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,235.0,235.0,9.04,0.0,9.04,100.0,0.0,100.0,9.0,0.0,62.0,0.0,62.0
12120,"Matemáticos, actuarios y estadísticos",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12130,Prof. Biología,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,8641.46,8641.46,,,,100.0,0.0,44.27,,,,,
12131,"Biólogos, botánicos, zoólogos y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,29926.47,29926.47,9.23,0.63,9.21,100.0,0.0,75.66,8.43,0.9,53.78,22.85,50.0
12132,Agrónomos y afines,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,10038.0,10038.0,9.01,0.43,9.11,100.0,0.0,55.5,9.0,0.0,40.24,11.87,38.0
12133,Prof. Protec. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12140,Ingenieros,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,2306.0,2306.0,7.44,0.0,7.44,100.0,0.0,31.96,9.0,0.0,44.35,9.76,39.0
12141,Ing. Industriales y producción,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,149.09,149.09,,,,100.0,0.0,100.0,,,,,
12142,Ingenieros civiles,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,8449.56,8449.56,9.68,0.17,9.73,100.0,0.0,0.0,9.0,0.0,48.33,7.22,55.0
12143,Ing. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12144,Ing. Mecánicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12145,Ing. Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12146,Ing. Met. Y minas,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12149,Ingenieros n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,771.47,771.47,,,,100.0,0.0,100.0,,,,,
12150,Ing. Electrotécnología,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12151,Ing. Electricista,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12152,Ing. Electrónicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,1307.0,1307.0,9.25,0.0,9.25,100.0,0.0,0.0,9.0,0.0,61.0,0.0,61.0
12153,Ing. Telecomunicaciones,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12160,"Arquitectos, urbanistas, agrimensores y diseñadores",2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
