v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y
8501,Enseñanza,P. Enseñanza,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",2706459.21,2706459.21,8.82,8.3,8.75,9.21,76.91,23.09,76.02,6.88,47.75,47.0,-0.4416268709838516,-0.2155233294602712
8509,Otros tipos de enseñanza,P. Enseñanza,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",192899.78,192899.78,8.54,8.01,8.7,9.2,73.48,26.52,13.54,6.95,38.6,32.0,-0.19851806278903722,-0.20416927441986318
8600,Atención de la salud,Q. Salud Humana y Servicios Sociales,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",1499393.66,1499393.66,8.8,8.29,8.83,9.31,72.66,27.34,45.41,6.8,48.24,48.0,-0.36683547983703485,-0.18401437613343008
8700,Asistencia social,Q. Salud Humana y Servicios Sociales,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",235276.61,235276.61,8.35,7.95,8.29,8.74,85.65,14.35,23.18,4.06,50.31,46.0,-0.3218085195512762,-0.11623249176101702
8800,Servicios sociales sin alojamiento,Q. Salud Humana y Servicios Sociales,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",186901.94,186901.94,8.43,7.86,8.24,8.78,92.46,7.54,41.67,5.88,45.46,44.0,-0.22731318922068866,-0.09341270562275884
9000,Actividades artísticas y de espectáculo,"R. Artes, Entretenimiento y Recreación ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",157015.64,157015.64,8.72,8.03,8.51,9.02,28.79,71.21,18.46,5.86,45.14,35.0,-0.12220405816869319,-0.2868664974656893
9100,Actividades de bibliotecas y archivos,"R. Artes, Entretenimiento y Recreación ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",29695.29,29695.29,8.37,8.11,8.71,9.29,76.75,23.25,76.43,5.92,36.47,38.0,0.19121117835177906,-0.01949871624029845
9200,Actividades de juegos de azar y apuesta,"R. Artes, Entretenimiento y Recreación ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",123852.66,123852.66,8.66,8.07,8.54,9.04,52.39,47.61,2.46,4.79,37.86,34.5,-0.22303724445241394,-0.011243284888314562
9301,Actividades para la práctica deportiva,"R. Artes, Entretenimiento y Recreación ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",152583.97,152583.97,8.66,7.89,8.52,8.99,31.88,68.12,18.14,5.24,35.69,36.0,-0.13617702104396714,-0.08735323910834537
9302,Actividades de entretenimiento n.c.p.,"R. Artes, Entretenimiento y Recreación ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",122317.44,122317.44,8.01,7.35,8.01,8.53,52.21,47.79,4.92,5.25,35.6,32.0,-0.12440089134535126,-0.0755581107597779
9401,Actividades de organizaciones empresariales y de empleadores,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",34771.51,34771.51,9.01,8.8,9.09,9.33,31.0,69.0,23.19,6.3,41.83,45.0,0.10425104582117785,-0.04722386698796829
9402,Actividades de sindicatos,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",25635.49,25635.49,8.92,8.22,8.7,9.17,63.94,36.06,17.67,5.23,52.19,51.0,0.1204135224691387,-0.04152451175343472
9409,Actividades de asociaciones n.c.p.,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",77175.53,77175.53,8.09,7.6,8.1,8.48,65.45,34.55,20.89,5.69,42.64,44.0,0.01732235042888813,-0.06237855830885489
9501,Reparación de equipos informáticos,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",45538.33,45538.33,8.86,8.16,8.56,9.24,3.48,96.52,20.62,7.17,37.68,28.0,0.13982050672355972,-0.08471761186617885
9502,Reparación de equipos de comunicación,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",7083.39,7083.39,9.07,7.8,8.01,8.81,20.15,79.85,6.2,6.4,30.61,25.5,0.3496603874318223,0.10084224181783553
9503,Reparación de efectos de uso personal y doméstico,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",277652.7,277652.7,8.32,7.66,8.19,8.7,58.3,41.7,2.91,4.36,50.96,49.0,-0.04631439445511047,-0.25722515620108105
9601,Lavado y limpieza de artículos de tela,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",47659.85,47659.85,8.04,7.65,8.06,9.18,86.72,13.28,3.24,3.93,49.53,51.0,-0.22558403562864104,0.12344260867034498
9602,Servicios de peluquería y tratamientos,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",351438.01,351438.01,8.3,7.6,8.29,8.8,86.18,13.82,0.43,4.6,46.04,45.0,-0.5188046367521765,-0.14141375542919496
9603,Pompas fúnebres y servicios conexos,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",36736.13,36736.13,8.81,8.25,8.69,8.95,28.74,71.26,15.89,4.42,47.8,57.0,0.052945017008515116,-0.12182900026921678
9609,Servicios personales n.c.p.,S. Otras Actividades de Servicios,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",52964.32,52964.32,8.07,7.6,8.16,8.61,58.41,41.59,1.63,4.29,39.64,35.0,-0.16824088258536443,-0.2908424109243503
9700,Actividades de hogares,T. Actividades de los Hogares como Empleadores de Personal Doméstico,T. Empleo doméstico,"(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)","(0.4, 0.4, 0.4, 1.0)",3402308.73,3402308.73,7.88,7.38,7.92,8.41,96.08,3.92,0.51,3.65,44.53,43.0,-0.6759474355816671,-0.27719455466921245
