v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
11221,Dir. Ventas y com,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",64299.33,64299.33,9040.16,3600.0,5000.0,9500.0,16.52,83.48,0.0,7.4,49.39,53.0,-0.0703935402519332,0.2348359437436839,C12
11222,Dir. Publicidad y rel públicas,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",777.0,777.0,10300.0,10300.0,10300.0,10300.0,0.0,100.0,0.0,5.0,72.0,72.0,-0.1912488559494509,-0.1236949349455931,C20
11223,Dir R&D,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",4047.1,4047.1,,,,,0.0,100.0,0.0,,,,0.4715198861041318,0.1036751835525312,C10
11300,Dir. Producción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",0.0,,,,,,,,,,,,,,
11310,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",0.0,,,,,,,,,,,,,,
11311,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",18196.68,18196.68,8660.52,4610.0,8800.0,10575.5,20.88,79.12,6.69,6.65,58.36,66.0,-0.4370915193803,-0.1156021467375975,C09
11312,Dir. Prod pisicultura,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",0.0,,,,,,,,,,,,,,
11320,"Dir. Ind manufacturera, minería",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1300.0,1300.0,,,,,0.0,100.0,0.0,7.0,67.0,67.0,,,
11321,Dir. Ind manufacturera,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",54564.77,54564.77,10036.06,4715.5,7000.0,11698.0,44.99,55.01,4.48,5.4,60.65,56.5,0.1351028640135278,0.2669469680967288,C06
11322,Dir. minería,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",6254.33,6254.33,21303.18,16800.0,21600.0,28300.0,0.0,100.0,60.02,5.84,59.68,45.0,0.3983670734619126,-0.2220380472446233,C19
11323,Dir. emp. construcción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",3091.53,3091.53,9000.0,9000.0,9000.0,9000.0,0.0,100.0,0.0,9.0,38.0,38.0,-0.2005986397963543,0.4287527672036266,C18
11324,"Dir. emp. abastecimiento, distribución y afines",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",20333.5,20333.5,13148.62,9430.75,10396.0,20580.0,18.9,81.1,41.7,4.43,57.02,59.5,-0.1788927584998731,-0.0793802627313837,C04
11330,Dir. serv. IT,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",9894.85,9894.85,8693.87,4500.0,5000.0,10000.0,63.8,36.2,3.06,8.77,38.94,35.5,-0.2198824875620011,-0.1337644330701671,C15
11340,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",0.0,,,,,,,,,,,,,,
11341,Dir. Cuidados infantiles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",0.0,,,,,,,,,,,,,,
11342,Dir. serv. salud,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",15185.72,15185.72,13207.26,7500.0,11000.0,15825.0,68.77,31.23,10.02,7.13,60.25,56.0,0.2690934129436362,-0.1807493897828597,C16
11343,Dir. Cuid. Pers edad.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",0.0,,,,,,,,,,,,,,
11344,Dir. bienestar social,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",781.0,781.0,23929.76,15872.0,22248.0,28624.0,0.0,100.0,0.0,6.4,64.42,66.0,-0.2923602651192791,0.2080884546342914,C23
11345,Dir. Serv. Educación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",125543.02,125543.02,12601.43,7500.0,10000.0,16000.0,80.15,19.85,81.37,7.08,57.98,58.0,-0.0417556022821831,-0.3003701328047481,C01
11346,Ger bancos y serv financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",23741.06,23741.06,15392.53,8000.0,15000.0,41583.0,0.0,100.0,70.27,6.43,62.71,64.0,0.2284920948098909,0.0945289632211335,C13
