v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
1800,Actividades de impresión,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",40,7996.6,4990.25,7401.5,9372.0,27.5,72.5,5.0,5.19,40.81,37.0,0.0526465770626775,-0.2107391947724373,C5
1902,Fabricación de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",19,11837.75,6216.0,10025.5,15520.75,10.53,89.47,31.58,6.0,44.29,38.0,0.6302237053806079,0.2230477370491932,C1
2000,Fabricación de Sustancias y Productos Químicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",13,10507.85,5000.0,8000.0,13716.0,7.69,92.31,23.08,5.31,51.0,53.0,0.59844524225044,0.342868742917702,C2
2001,Fabricación de pinturas y barnices,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",6,7980.6,4000.0,7480.0,12466.0,16.67,83.33,0.0,4.6,47.2,42.0,0.6772637856666152,0.3842685971206931,C2
2002,Fabricación de jabones y detergentes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",15,8606.3,4715.0,6858.5,8856.75,40.0,60.0,6.67,5.18,49.27,43.0,0.6944516463208215,0.3430207372834355,C2
2009,Fabricación de otros productos químicos n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",18,13263.61,6175.0,8500.0,12787.0,16.67,83.33,11.11,5.0,51.11,51.0,0.5855902025470565,0.200638044558382,C1
2100,Fabricación de productos farmacéuticos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",42,8895.03,5000.0,8000.0,12467.0,40.48,59.52,9.52,6.4,45.97,44.0,0.8139201762193596,0.4228110529314051,C2
2201,Fabricación de productos de caucho,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",10,8417.2,7000.0,8086.0,9000.0,10.0,90.0,0.0,3.57,38.71,33.0,-0.1137275475836657,0.5607951046069621,C0
2202,Fabricación de productos de plástico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",51,8359.27,4363.0,6000.0,9973.0,21.57,78.43,1.96,4.6,46.16,44.0,-0.0051435164377994,-0.0187840401394654,C0
2301,Fabricación de vidrio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",14,6291.67,3239.0,7000.0,10000.0,21.43,78.57,0.0,5.33,43.0,32.0,0.5655645197319967,0.3586025526040357,C2
