v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
2002,Fabricación de jabones y detergentes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",24337.19,24337.19,8.9,0.46,8.83,33.94,66.06,8.1,3.68,2.64,60.65,18.08,43.0,63.85368347167969,340.4633483886719,
2009,Fabricación de otros productos químicos n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",29577.0,29577.0,9.06,0.84,9.05,10.07,89.93,10.56,4.8,1.94,43.83,14.46,51.0,407.6915283203125,252.31358337402344,C09
2100,Fabricación de productos farmacéuticos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",93009.48,93009.48,8.82,0.73,8.99,22.83,77.17,2.33,5.78,2.25,45.67,17.78,44.0,72.20857238769531,64.68473052978516,C03
2201,Fabricación de productos de caucho,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",9530.29,9530.29,9.03,0.21,9.0,13.4,86.6,0.0,3.6,1.02,40.51,15.05,33.0,432.3809509277344,371.4272766113281,C10
2202,Fabricación de productos de plástico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",123524.73,123524.73,8.82,0.58,8.7,18.83,81.17,1.74,4.77,1.62,43.34,17.13,44.0,149.74661254882812,-56.00291442871094,C03
2301,Fabricación de vidrio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",40567.31,40567.31,8.4,0.83,8.85,70.55,29.45,0.0,5.85,2.35,37.61,22.59,32.0,208.95152282714844,-151.75897216796875,C04
2309,Fabricación de productos minerales no metálicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",131918.96,131918.96,8.47,1.06,8.52,12.29,87.71,2.23,4.07,1.74,44.33,18.25,38.0,122.76700592041016,-19.27405166625977,C04
2400,Fabricación de metales,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",61271.06,61271.06,8.59,0.54,8.7,7.8,92.2,4.58,4.22,1.85,49.13,18.39,53.0,350.87042236328125,191.167724609375,C07
2500,Fabricación de productos elaborados de metal,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",381543.85,381543.85,8.66,0.68,8.59,16.78,83.22,1.88,4.41,1.84,45.54,18.44,45.5,406.5612487792969,31.581636428833008,C03
2601,Fabricación de componentes electrónicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12992.73,12992.73,9.17,0.21,9.23,72.93,27.07,1.9,6.75,2.64,46.8,15.05,54.0,442.62786865234375,337.3801574707031,C10
2602,Fabricación de equipos informáticos y periféricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1098.0,1098.0,,,,100.0,0.0,0.0,7.0,0.0,34.0,0.0,34.0,353.17510986328125,526.882080078125,C10
2603,Fabricación de equipos y aparatos de radio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6876.26,6876.26,10.31,0.0,10.31,37.93,62.07,0.0,6.86,0.96,47.31,5.77,45.0,323.0199279785156,471.02392578125,C10
2604,"Fabricación de equipos electromédicos, ópticos y de precisión ",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3201.0,3201.0,8.68,0.0,8.68,0.0,100.0,0.0,4.0,0.0,72.0,0.0,72.0,-472.18951416015625,-2611.21337890625,
2700,Fabricación de Maquinaria y Equipos Eléctricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2713.0,2713.0,8.98,0.17,9.05,0.0,100.0,0.0,5.92,1.39,30.41,3.39,31.0,261.5032958984375,584.5046997070312,C08
