v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
11344,Dir. bienestar social,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,781.0,781.0,9.9,0.65,9.81,0.0,100.0,0.0,6.4,2.97,64.42,11.9,66.0,-906.2756958007812,-47.133392333984375,C06
11345,Dir. Serv. Educación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,125543.02,125543.02,9.25,0.66,9.21,80.15,19.85,81.37,7.08,1.4,57.98,11.62,58.0,52.86037826538086,-800.1796264648438,C04
11346,Ger bancos y serv financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,23741.06,23741.06,9.35,0.71,9.62,0.0,100.0,70.27,6.43,1.89,62.71,9.48,64.0,-252.94680786132807,-143.3570098876953,C11
11349,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,33104.31,33104.31,8.61,0.37,9.16,0.0,100.0,47.47,6.23,1.84,62.74,8.4,55.0,-398.8478393554688,-165.12684631347656,C14
11400,Ger. Hoteles y restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11410,Ger. hot. y rest.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11411,Ger. Hoteles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,17828.0,17828.0,8.01,1.38,8.94,20.23,79.77,0.0,5.11,1.49,47.54,18.36,50.0,-560.7181396484375,-384.5197448730469,C13
11412,Ger. Restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,26562.23,26562.23,8.81,0.34,8.85,30.05,69.95,0.0,8.25,1.3,35.93,7.69,39.0,606.5540161132812,-710.815673828125,C08
11420,Ger. Com. Por mayor,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,74657.56,74657.56,9.05,0.6,8.99,16.38,83.62,0.0,5.26,1.38,55.61,14.73,50.0,593.1158447265625,-304.5314025878906,C20
11430,Ger. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
