v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
11344,Dir. bienestar social,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",2,22248.0,15872.0,22248.0,28624.0,0.0,100.0,0.0,6.0,66.0,66.0,-0.1936086137508705,-0.3189221355054075,C00
11345,Dir. Serv. Educación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",89,12569.22,7500.0,10000.0,16000.0,76.4,23.6,85.39,7.37,58.19,58.0,0.4476461178682691,-0.1807317874474246,C11
11346,Ger bancos y serv financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",11,22321.78,8000.0,15000.0,41583.0,0.0,100.0,72.73,6.22,64.78,64.0,-0.1139208067666179,-0.0753722170456313,C17
11349,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",7,9269.0,7840.75,9500.0,10928.25,0.0,100.0,42.86,8.2,55.0,55.0,-0.1181918500222701,-0.4451680886669587,C15
11411,Ger. Hoteles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",12,5855.8,5275.0,7604.0,8000.0,33.33,66.67,0.0,6.14,51.57,50.0,-0.0644359786788781,-0.1399233123564207,C09
11412,Ger. Restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",12,7600.0,5000.0,7000.0,10000.0,41.67,58.33,0.0,8.17,38.17,39.0,0.5016043642778439,0.0744291411611613,C08
11420,Ger. Com. Por mayor,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",32,8668.68,4226.0,8000.0,11775.5,31.25,68.75,0.0,5.32,51.84,50.0,0.3184158792854754,-0.0319242419720643,C08
11431,"Ger cent. Deportivos, esparicmiento y culturales",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",7,9389.0,7875.0,10000.0,11514.0,0.0,100.0,0.0,5.0,52.2,40.0,-0.1821535602596264,-0.0355187927428063,C10
11439,Ger. Serv. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)","(np.float64(0.13936179545454544), np.float64(0.045847863636363666), np.float64(0.3030878863636364), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",10,11379.0,4625.0,5800.0,14358.0,60.0,40.0,20.0,6.38,52.88,51.5,-0.1571751905240616,-0.0202277512899601,C09
12000,Profesionales científicos e intelectuales,2. Profesionales,1. Trabajadores  no manuales,"(0.271347, 0.040922, 0.411976, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",12,8888.83,6000.0,10000.0,11840.0,41.67,58.33,75.0,8.83,42.83,37.5,0.1663010957478486,-0.3063940505568421,C15
12100,Prof. ciencia e ingeniería,2. Profesionales,1. Trabajadores  no manuales,"(0.284321, 0.043933, 0.416608, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",2,,,,,100.0,0.0,100.0,,,,0.2042679565178385,0.3971886864855944,C06
12112,Meteorólogos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",3,15594.5,14728.25,15594.5,16460.75,66.67,33.33,33.33,7.67,42.67,45.0,-0.106328123420214,-0.2986879074538864,C00
12113,Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",7,8642.67,6363.75,9000.0,11250.0,85.71,14.29,57.14,8.5,44.0,42.0,-0.0313959084406503,-0.2262645941264038,C00
12114,Geólogos y geofísicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",3,7570.5,7135.25,7570.5,8005.75,33.33,66.67,66.67,9.0,56.0,56.0,-0.0874142997719075,-0.4055543865310018,C09
