v183cno,cnolabel,v183ciuo_2digits
72.1.1.4,"Cuenta propia sin operación de maquinarias de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo no calificado",93
72.3.1.4,"Trabajadores sin operación de maquinarias de la construcción edilicia, de obras de infraestructura y de redes de distribución de  energía, agua potable, gas, telefonía y petróleo no calificados",93
72.3.2.4,"Operadores de maquinaria y/o equipos electromecánicos de la construcción edilicia, de obras de infraestructura y de la distribución de energía, agua potable, gas, telefonía y petróleo no calificados",93
80.3.1.4,Trabajadores sin operación de maquinarias de la producción industrial y artesanal con calificación profesional,93
80.3.2.4,Trabajadores sin operación de maquinarias de la producción industrial y artesanal no calificados,93
82.3.1.4,Jefes de la reparación de bienes de consumo con calificación operativa,93
82.3.2.4,Trabajadores sin operación de maquinarias de la reparación de bienes de consumo con calificación operativa,93
90.3.1.4,Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación profesional,93
90.3.2.4,Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación operativa,93
92.3.1.4,"Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinaria, equipos y sistemas de la prestación de servicios con calificación profesional",93
92.3.2.4,"Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinaria, equipos y sistemas de la prestación de servicios con calificación operativa",93
53.3.1.4,Trabajadores sin operación de maquinarias de servicios gastronómicos no calificados,94
33.1.1.4,Cuenta propia sin operación de maquinarias de la comercialización ambulante y callejera no calificado,95
10.3.1.4,"Trabajadores sin operación de maquinarias de gestión administrativa, de planificación y control de gestión no calificados",96
20.3.1.4,"Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera no calificados",96
34.3.2.4,Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte sin calificación,96
44.3.1.4,"Trabajadores sin operación de maquinarias de prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología no calificados",96
46.3.1.4,"Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos no calificados",96
51.3.1.4,Trabajadores sin operación de maquinarias del deporte no calificados,96
52.3.1.4,Trabajadores sin operación de maquinarias de la recreación no calificados,96
54.3.1.4,Trabajadores sin operación de maquinarias del alojamiento y turismo no calificados,96
58.3.1.4,Trabajadores sin operación de maquinarias de otros servicios no calificados,96
