v183cno,cnolabel,v183ciuo_2digits
32.1.1.1,Cuenta propia sin operación de maquinarias de la comercialización indirecta con calificación profesional,24
32.2.0.1,Jefes de comercialización indirecta con calificación profesional,24
32.3.1.1,Trabajadores sin operación de maquinarias de la comercialización indirecta con calificación profesional,24
32.3.3.1,Operadores de sistemas y/o equipos informatizados de la comercialización indirecta con calificación profesional,24
54.1.1.1,Cuenta propia sin operación de maquinarias de los servicios de alojamiento y turismo con calificación profesional,24
54.3.1.1,Trabajadores sin operación de maquinarias del alojamiento y turismo con calificación profesional,24
47.1.1.1,Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil con calificación profesional,25
47.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil con calificación profesional,25
47.2.0.1,Jefes de los servicios de vigilancia y seguridad civil con calificación profesional,25
47.3.3.1,Operadores de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil con calificación profesional,25
81.1.3.1,Operadores de maquinaria y/o equipos electromecánicos de la producción industrial y artesanal no calificados,25
81.2.0.1,Cuenta propia de la producción de software con calificación profesional,25
81.3.3.1,Jefes de la producción de software con calificación profesional,25
02.0.0.1,"Funcionarios del poder judicial federal, nacional, provincial, municipal y/o departamental con calificación profesional",26
11.1.1.1,Cuenta propia sin operación de maquinarias de la gestión jurídico legal con calificación profesional,26
11.2.0.1,Jefes de la gestión jurídico legal con calificación profesional,26
11.3.1.1,Trabajadores sin operación de maquinarias de la gestión jurídico legal con calificación profesional,26
45.1.1.1,Cuenta propia sin operación de maquinarias de la comunicación de masas con calificación profesional,26
45.1.1.2,Cuenta propia sin operación de maquinarias de la comunicación de masas con calificación técnica,26
45.1.2.1,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas con calificación profesional,26
45.2.0.1,Jefes de la comunicación de masas con calificación profesional,26
45.2.0.2,Jefes de la comunicación de masas con calificación étnica,26
45.3.1.1,Trabajadores sin operación de maquinarias de la comunicación de masas con calificación profesional,26
45.3.1.2,Trabajadores sin operación de maquinarias de la comunicación de masas con calificación técnica,26
46.1.1.1,"Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación profesional",26
46.1.1.2,"Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación técnica",26
46.2.0.1,"Jefe de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación profesional",26
46.3.1.1,"Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos con calificación profesional",26
50.1.1.1,Cuenta propia sin operación de maquinarias del arte con calificación profesional,26
50.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados del arte con calificación profesional,26
50.2.0.1,Jefes del arte con calificación profesional,26
50.3.1.1,Trabajadores sin operación de maquinarias del arte con calificación profesional,26
50.3.3.1,Operadores de sistemas y/o equipos informatizados del arte con calificación profesional,26
42.1.1.2,Cuenta propia sin operación de maquinarias de la investigación científica y tecnológica con calificación técnica,3(2)
42.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la investigación científica y tecnológica con calificación operativa,3(2)
42.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica con calificación técnica,3(2)
42.1.3.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica con calificación operativa,3(2)
42.2.0.2,Jefes de la investigación científica y tecnológica con calificación técnica,3(2)
42.3.1.2,Trabajadores sin operación de maquinarias de la investigación científica y tecnológica con calificación técnica,3(2)
42.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la investigación científica y tecnológica con calificación operativa,3(2)
42.3.3.2,Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica con calificación técnica,3(2)
42.3.3.3,Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica con calificación operativa,3(2)
43.1.1.2,Cuenta propia sin operación de maquinarias de la asesoría y consultoría con calificación técnica,3(2)
43.1.3.2,cuenta propia con operación de sistemas y/o equipos informatizados de la asesoría y consultoría con calificación técnica,3(2)
43.3.1.2,Trabajadores de la asesoría y consultoría con calificación técnica,3(2)
34.1.1.2,Cuenta propia sin operación de maquinarias del transporte con calificación técnica,31
34.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos del transporte con técnica,31
34.2.0.2,Jefes de servicios de transporte con calificación técnica,31
34.3.1.2,Trabajadores sin operación de maquinarias del transporte con calificación técnica,31
34.3.2.2,Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte con calificación técnica,31
