v182caes,original_v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
1902,1902,Fabricación de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",20657.56,20657.56,9.41,0.67,9.54,9.94,90.06,23.89,7.38,1.89,46.17,18.79,32.0
2000,2000,Fabricación de Sustancias y Productos Químicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",10537.0,10537.0,9.38,0.67,8.99,18.27,81.73,42.4,7.29,2.0,42.35,12.16,46.0
2001,2001,Fabricación de pinturas y barnices,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",916.0,916.0,9.61,0.0,9.61,0.0,100.0,0.0,9.0,0.0,40.0,0.0,40.0
2002,2002,Fabricación de jabones y detergentes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2092.0,2092.0,9.08,0.6,8.91,0.0,100.0,0.0,8.92,0.57,54.75,29.74,27.5
2009,2009,Fabricación de otros productos químicos n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6506.0,6506.0,8.65,1.42,9.03,28.82,71.18,18.21,6.96,1.73,52.76,15.11,53.5
2100,2100,Fabricación de productos farmacéuticos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",63728.49,63728.49,8.78,0.89,9.21,21.7,78.3,2.05,7.54,1.36,43.13,13.16,48.0
2201,2201,Fabricación de productos de caucho,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1013.0,1013.0,8.85,0.0,8.85,0.0,100.0,0.0,3.0,0.0,32.0,0.0,32.0
2202,2202,Fabricación de productos de plástico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",32151.0,32151.0,8.97,0.72,8.72,21.78,78.22,0.0,5.52,1.54,60.43,16.67,68.0
2301,2301,Fabricación de vidrio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",5672.0,5672.0,9.21,0.2,9.21,13.49,86.51,0.0,6.39,1.48,30.77,14.03,32.0
2309,2309,Fabricación de productos minerales no metálicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",13541.4,13541.4,8.61,1.45,8.63,10.4,89.6,8.19,6.14,2.86,52.78,17.9,53.0
