v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
11346,Ger bancos y serv financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,9.0,9.0,9.67,0.85,9.62,0.0,100.0,66.67,6.22,1.75,64.78,10.48,64.0
11349,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,5.0,5.0,9.06,0.42,9.16,0.0,100.0,40.0,8.2,1.6,55.0,7.62,55.0
11400,Ger. Hoteles y restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11410,Ger. hot. y rest.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11411,Ger. Hoteles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,7.0,7.0,8.3,1.16,8.94,14.29,85.71,0.0,6.14,2.03,51.57,16.99,50.0
11412,Ger. Restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,6.0,6.0,8.88,0.33,8.85,33.33,66.67,0.0,8.17,1.46,38.17,7.65,39.0
11420,Ger. Com. Por mayor,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,19.0,19.0,8.77,0.9,8.99,31.58,68.42,0.0,5.32,1.81,51.84,15.58,50.0
11430,Ger. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11431,"Ger cent. Deportivos, esparicmiento y culturales",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,5.0,5.0,9.07,0.4,9.21,0.0,100.0,0.0,5.0,1.9,52.2,16.96,40.0
11439,Ger. Serv. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,8.0,8.0,8.84,1.03,8.67,62.5,37.5,25.0,6.38,2.0,52.88,18.44,51.5
12000,Profesionales científicos e intelectuales,2. Profesionales,1. Trabajadores  no manuales,"(0.271347, 0.040922, 0.411976, 1.0)",#DF8F44,#cccccc,6.0,6.0,8.95,0.6,9.21,33.33,66.67,50.0,8.83,0.37,42.83,15.06,37.5
12100,Prof. ciencia e ingeniería,2. Profesionales,1. Trabajadores  no manuales,"(0.284321, 0.043933, 0.416608, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
