algorithm,resolution,score,score_type
infomap,0.11574864870826927,0.9026568262268359,NMI
infomap,0.11574864870826927,0.7592115655698651,AMI
infomap,0.11574864870826927,0.7711642901061067,NMI
infomap,0.11574864870826927,0.5002847766373492,AMI
infomap,0.11574864870826927,0.5675274205415141,NMI
infomap,0.11574864870826927,0.3050759923176106,AMI
infomap,0.11574864870826927,0.42919533944773636,NMI
infomap,0.11574864870826927,0.559570331256742,AMI
infomap,0.11574864870826927,0.5851398601508871,NMI
infomap,0.11574864870826927,0.9020055124054261,AMI
infomap,0.11574864870826927,0.9067516447286189,NMI
infomap,0.11574864870826927,0.9068552671833672,AMI
infomap,0.11574864870826927,0.91158906322091,NMI
infomap,0.11574864870826927,0.9465745651992306,AMI
infomap,0.11574864870826927,0.9495405396062278,NMI
infomap,0.11574864870826927,0.48309508514654925,AMI
infomap,0.11574864870826927,0.5683549432231483,NMI
infomap,0.11574864870826927,0.41493784383356525,AMI
infomap,0.11574864870826927,0.5034301590140029,NMI
infomap,0.11574864870826927,0.5550586787748715,AMI
infomap,0.11574864870826927,0.6011639535822415,NMI
infomap,0.11574864870826927,0.603454426669375,AMI
infomap,0.11574864870826927,0.6508887687498653,NMI
infomap,0.11574864870826927,0.5058127913974928,AMI
infomap,0.11574864870826927,0.5719777933163044,NMI
infomap,0.11574864870826927,0.4954135498793246,AMI
infomap,0.11574864870826927,0.5592191109513354,NMI
infomap,0.11574864870826927,0.529381332524395,AMI
infomap,0.11574864870826927,0.5886660471721294,NMI
infomap,0.11574864870826927,0.8367540793126564,AMI
infomap,0.11574864870826927,0.8451840888887662,NMI
infomap,0.11574864870826927,0.7517451036596501,AMI
infomap,0.11574864870826927,0.7656026519911767,NMI
infomap,0.11574864870826927,0.37008252004539277,AMI
infomap,0.11574864870826927,0.4779325126267164,NMI
infomap,0.11574864870826927,0.30849774948898373,AMI
infomap,0.11574864870826927,0.4317865882784825,NMI
infomap,0.11574864870826927,0.3139070258383331,AMI
infomap,0.11574864870826927,0.4359079530095318,NMI
infomap,0.11574864870826927,0.32623614474876156,AMI
infomap,0.11574864870826927,0.4448533569776941,NMI
infomap,0.11574864870826927,0.6709822602636925,AMI
infomap,0.11574864870826927,0.7039956670184773,NMI
infomap,0.11574864870826927,0.703056944050579,AMI
infomap,0.11574864870826927,0.7297310116275495,NMI
infomap,0.11574864870826927,0.5699584793468557,AMI
infomap,0.11574864870826927,0.5946987478998642,NMI
infomap,0.11574864870826927,0.5518647319269705,AMI
infomap,0.11574864870826927,0.5772980203746143,NMI
infomap,0.11574864870826927,0.5875008121770701,AMI
infomap,0.11574864870826927,0.6082809269852297,NMI
infomap,0.11574864870826927,0.5734781527012537,AMI
infomap,0.11574864870826927,0.6368666007196031,NMI
infomap,0.11574864870826927,0.49891267095097896,AMI
infomap,0.11574864870826927,0.5678561244689425,NMI
infomap,0.11574864870826927,0.9085406527507957,AMI
