algorithm,resolution,num_communities,seed,modularity
leiden,30.0,176,54596,0.21664528834401806
leiden,30.0,176,50180,0.21695515784111294
leiden,30.0,177,50469,0.21489610190289926
louvain,0.1,2,43667,0.0
louvain,0.1,2,55824,0.0
louvain,0.1,2,14480,0.0
louvain,0.1,2,57991,0.0
louvain,0.1,2,54596,0.0
louvain,0.1,2,50180,0.0
louvain,0.1,2,50469,0.0
louvain,0.18846716378431197,3,43667,0.34813096395295823
louvain,0.18846716378431197,3,55824,0.3770362818204704
louvain,0.18846716378431197,3,14480,0.3759974462332565
louvain,0.18846716378431197,3,57991,0.3764698345145607
louvain,0.18846716378431197,4,54596,0.4109500705764501
louvain,0.18846716378431197,3,50180,0.3748928952375524
louvain,0.18846716378431197,4,50469,0.4100042972381404
louvain,0.3551987182490266,7,43667,0.5855390072240944
louvain,0.3551987182490266,7,55824,0.5864128017522539
louvain,0.3551987182490266,6,14480,0.5752766711788574
louvain,0.3551987182490266,7,57991,0.5871487099787623
louvain,0.3551987182490266,7,54596,0.5981789160486467
louvain,0.3551987182490266,7,50180,0.5860969234965007
louvain,0.3551987182490266,7,50469,0.5832760992809753
louvain,0.6694329500821696,11,43667,0.6523486382202517
louvain,0.6694329500821696,10,55824,0.6534345043529091
louvain,0.6694329500821696,10,14480,0.6513563849860563
louvain,0.6694329500821696,10,57991,0.6569455843834763
louvain,0.6694329500821696,11,54596,0.6445717871963612
louvain,0.6694329500821696,11,50180,0.6557126194276995
louvain,0.6694329500821696,10,50469,0.6518717527160217
louvain,1.2616612944575138,14,43667,0.6573982092856205
louvain,1.2616612944575138,14,55824,0.6598413759390614
louvain,1.2616612944575138,15,14480,0.6529969200165746
louvain,1.2616612944575138,14,57991,0.6588748769452271
louvain,1.2616612944575138,14,54596,0.6585431701153377
louvain,1.2616612944575138,14,50180,0.6588619641622138
louvain,1.2616612944575138,16,50469,0.6546354761056116
louvain,2.377817258228513,22,43667,0.6112125439728487
louvain,2.377817258228513,22,55824,0.6114284856739554
louvain,2.377817258228513,23,14480,0.6118692116835152
louvain,2.377817258228513,24,57991,0.612137207511349
louvain,2.377817258228513,22,54596,0.6118852875717153
louvain,2.377817258228513,24,50180,0.6373158214586737
louvain,2.377817258228513,22,50469,0.6369929385382368
louvain,4.481404746557166,38,43667,0.5078813174044826
louvain,4.481404746557166,37,55824,0.5122847778401696
louvain,4.481404746557166,38,14480,0.5149097101395489
louvain,4.481404746557166,36,57991,0.5155303021502518
louvain,4.481404746557166,36,54596,0.5092157296567776
louvain,4.481404746557166,37,50180,0.5089125849681901
louvain,4.481404746557166,39,50469,0.5079381354888804
louvain,8.445976423531825,72,43667,0.43280553178085357
louvain,8.445976423531825,73,55824,0.432894686869894
louvain,8.445976423531825,72,14480,0.42979877703078934
louvain,8.445976423531825,69,57991,0.4378678189439256
louvain,8.445976423531825,73,54596,0.42536519796989863
louvain,8.445976423531825,71,50180,0.42875549272678665
louvain,8.445976423531825,70,50469,0.437446187709862
louvain,15.917892219322097,115,43667,0.30965036753247843
louvain,15.917892219322097,116,55824,0.30823148278863166
louvain,15.917892219322097,117,14480,0.3084480865164736
louvain,15.917892219322097,118,57991,0.3080804815572869
louvain,15.917892219322097,118,54596,0.30813335710779194
louvain,15.917892219322097,120,50180,0.3080308273339495
louvain,15.917892219322097,118,50469,0.310015229706468
louvain,30.0,174,43667,0.21666228283568015
louvain,30.0,173,55824,0.22159579790492034
louvain,30.0,171,14480,0.22181964487584016
louvain,30.0,174,57991,0.21766048830118473
louvain,30.0,175,54596,0.2153767253301027
louvain,30.0,175,50180,0.21668332260183412
louvain,30.0,175,50469,0.21703040148749742
