model_1,model_2,dimension,wasserstein
configuration_model_1,configuration_model_20,0,29.0
configuration_model_1,configuration_model_20,1,48.44654890763027
configuration_model_1,configuration_model_20,2,38.476659402887
configuration_model_1,configuration_model_21,0,143.52186130069785
configuration_model_1,configuration_model_21,1,56.66247484869261
configuration_model_1,configuration_model_21,2,7.242640687119285
configuration_model_1,configuration_model_22,0,20.0
configuration_model_1,configuration_model_22,1,49.334523779156065
configuration_model_1,configuration_model_22,2,10.606601717798213
configuration_model_1,configuration_model_23,0,144.52186130069785
configuration_model_1,configuration_model_23,1,33.56401904703637
configuration_model_1,configuration_model_23,2,24.920310216782973
configuration_model_1,configuration_model_24,0,8.0
configuration_model_1,configuration_model_24,1,40.419834161573355
configuration_model_1,configuration_model_24,2,20.142135623730947
configuration_model_1,enhanced_configuration_model_0,0,5941.826904281911
configuration_model_1,enhanced_configuration_model_0,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_0,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_1,0,6130.76655048245
configuration_model_1,enhanced_configuration_model_1,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_1,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_2,0,6072.005619832101
configuration_model_1,enhanced_configuration_model_2,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_2,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_3,0,6198.941694695172
configuration_model_1,enhanced_configuration_model_3,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_3,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_4,0,4731.206271021382
configuration_model_1,enhanced_configuration_model_4,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_4,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_5,0,6454.470698670805
configuration_model_1,enhanced_configuration_model_5,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_5,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_6,0,6454.470698670805
configuration_model_1,enhanced_configuration_model_6,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_6,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_7,0,5935.661446587941
configuration_model_1,enhanced_configuration_model_7,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_7,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_8,0,1926.1222920256962
configuration_model_1,enhanced_configuration_model_8,1,183.14065632731572
configuration_model_1,enhanced_configuration_model_8,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_9,0,6070.177192707355
configuration_model_1,enhanced_configuration_model_9,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_9,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_10,0,3619.471460092228
configuration_model_1,enhanced_configuration_model_10,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_10,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_11,0,5747.817304230412
configuration_model_1,enhanced_configuration_model_11,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_11,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_12,0,6135.059443701263
configuration_model_1,enhanced_configuration_model_12,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_12,2,67.88225099390857
