nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
58.0,1.0,9700,19111,604.0,2,2,6.90875477931522,49.0,5.0
58.0,1.0,4808,19334,604.0,1,2,6.68586094706836,21.0,4.0
58.0,1.0,4000,17112,604.0,1,2,6.803505257608338,18.0,4.0
58.0,1.0,9700,19111,604.0,2,2,6.814542897259958,17.0,4.0
59.0,1.0,8200,14223,922.0,1,2,8.81001204797317,28.0,8.0
59.0,1.0,4808,15230,922.0,2,2,,25.0,5.0
60.0,1.0,4808,15221,445.0,1,2,5.707110264748875,24.0,4.0
60.0,1.0,4808,15223,445.0,2,2,6.621405651764134,22.0,5.0
61.0,1.0,4903,18322,291.0,1,2,,64.0,2.0
61.0,1.0,8600,13221,291.0,2,2,7.65491704784832,60.0,5.0
61.0,1.0,9000,12652,291.0,2,2,8.214465160759186,27.0,5.0
61.0,1.0,4903,18322,291.0,1,2,9.26407069439715,34.0,7.0
62.0,1.0,4804,15223,354.0,2,2,,52.0,3.0
62.0,1.0,4903,18322,354.0,1,2,,33.0,4.0
62.0,1.0,4807,15223,354.0,2,2,7.65491704784832,24.0,4.0
63.0,1.0,4804,15223,443.0,1,2,7.298445101508147,32.0,3.0
64.0,1.0,8402,15412,429.0,1,1,9.26407069439715,54.0,5.0
65.0,1.0,4903,18322,664.0,1,2,8.214465160759186,57.0,4.0
65.0,1.0,9301,19312,664.0,1,2,7.837159650001675,25.0,5.0
65.0,1.0,6500,14226,664.0,1,1,8.347827345782498,27.0,5.0
66.0,1.0,8600,14110,599.0,1,2,8.753371421000903,53.0,4.0
66.0,1.0,8600,19112,599.0,2,2,,51.0,4.0
66.0,1.0,5601,15131,599.0,1,2,8.347827345782498,26.0,4.0
67.0,1.0,8700,18322,429.0,1,1,8.214465160759186,56.0,4.0
67.0,1.0,4800,15223,429.0,2,2,7.65491704784832,54.0,4.0
68.0,1.0,9700,19111,63.0,2,2,,40.0,3.0
68.0,1.0,9700,19111,63.0,2,2,7.496097345175956,90.0,2.0
68.0,1.0,4000,17112,63.0,1,2,,56.0,2.0
69.0,1.0,8101,15153,49.0,1,2,8.699681400989514,63.0,5.0
69.0,1.0,4000,19313,49.0,1,2,,24.0,4.0
70.0,1.0,4904,18332,87.0,1,2,9.105090961257083,49.0,4.0
70.0,1.0,9700,19111,87.0,2,2,,48.0,4.0
70.0,1.0,9601,19121,87.0,2,2,,28.0,4.0
71.0,1.0,8600,13222,60.0,2,1,9.210440366976515,88.0,2.0
72.0,1.0,4502,19122,101.0,1,2,8.006700845440367,40.0,4.0
72.0,1.0,9700,19111,101.0,2,2,7.601402334583733,45.0,5.0
72.0,1.0,4000,17112,101.0,1,2,,24.0,3.0
72.0,1.0,5601,15131,101.0,2,2,,21.0,4.0
73.0,1.0,4904,18332,47.0,1,2,8.699681400989514,59.0,5.0
73.0,1.0,4904,18332,47.0,1,2,8.412054873292933,28.0,5.0
74.0,1.0,4904,18332,94.0,1,2,8.753371421000903,32.0,5.0
75.0,1.0,800,18111,82.0,1,2,8.753371421000903,44.0,6.0
76.0,1.0,4904,18332,77.0,1,2,7.65491704784832,38.0,3.0
76.0,1.0,8600,19112,77.0,2,2,7.65491704784832,37.0,5.0
77.0,1.0,4502,17231,60.0,1,2,7.601402334583733,63.0,3.0
77.0,1.0,4502,17231,60.0,1,2,6.90875477931522,25.0,5.0
78.0,1.0,8501,12341,857.0,1,1,8.753371421000903,54.0,7.0
79.0,1.0,4000,17126,586.0,1,2,8.753371421000903,59.0,3.0
80.0,1.0,3900,14120,667.0,1,1,9.158731238242952,63.0,4.0
80.0,1.0,9200,14212,667.0,2,2,8.465689348549121,40.0,5.0
80.0,1.0,4805,19333,667.0,1,6,,40.0,3.0
81.0,1.0,4802,15221,1168.0,2,2,6.962243464266207,57.0,2.0
82.0,1.0,4803,15223,919.0,1,2,9.06566136060674,48.0,3.0
82.0,1.0,4808,15221,919.0,2,2,,44.0,3.0
82.0,1.0,9700,19111,919.0,2,2,,23.0,6.0
82.0,1.0,4808,15221,919.0,1,2,,20.0,3.0
83.0,1.0,4000,19312,741.0,1,1,9.040974526342444,61.0,2.0
83.0,1.0,1009,17512,741.0,1,2,6.962243464266207,18.0,4.0
84.0,1.0,4000,17112,953.0,1,2,7.65491704784832,52.0,5.0
84.0,1.0,8600,15311,953.0,2,1,7.603897968521881,51.0,2.0
85.0,1.0,2309,17314,1122.0,1,2,8.060224240440958,55.0,3.0
86.0,1.0,4800,14311,677.0,1,2,8.347827345782498,55.0,5.0
86.0,1.0,5601,15131,677.0,2,2,8.185350223178686,30.0,5.0
86.0,1.0,8402,10310,677.0,1,1,8.347827345782498,25.0,5.0
