nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
265,,4808,19334,3970.092052,1,2,,NaN,
266,,8600,13221,2520.595068,2,4,,NaN,
267,,9409,13253,1352.146109,1,4,,NaN,
269,,8509,12359,1256.272623,1,2,,NaN,
270,,8800,19412,3503.597325,2,4,,NaN,
271,,4800,15223,1443.991351,1,2,,NaN,
272,,4000,19313,1279.185992,1,2,,NaN,
274,,9409,19411,1687.193286,2,4,,NaN,
275,,8800,19412,1948.540243,2,4,,NaN,
276,,5601,19412,3762.848575,2,2,,NaN,
277,,4803,15223,1268.885038,1,2,,NaN,
279,,4803,15223,7094.103768,1,2,,NaN,
280,,5601,15120,1960.129285,1,2,,NaN,
281,,2500,17221,1686.308572,1,2,,NaN,
282,,4904,18332,1810.338259,1,2,,NaN,
283,,4804,15223,3100.100496,1,2,,NaN,
284,,4000,17411,3567.180668,1,2,,NaN,
285,,1600,17115,4624.317485,1,2,,NaN,
286,,4808,19334,9555.859595,1,2,,NaN,
287,,9700,19111,2250.693072,2,2,,NaN,
288,,2500,18121,2988.913642,1,2,,NaN,
289,,4808,15221,2035.478521,1,2,,NaN,
290,,9301,13422,4039.547472,1,2,,NaN,
292,,4804,15221,3701.632197,2,2,,NaN,
293,,4810,19520,5916.067515,1,2,,NaN,
294,,8800,12635,5044.803509,2,1,,NaN,
295,,8600,14321,7800.775385,2,1,,NaN,
296,,9700,19111,3545.566251,2,2,,NaN,
297,,1400,12163,16341.16587,1,2,,NaN,
298,,4000,17131,9674.211682,1,2,,NaN,
299,,5601,19412,1603.919456,2,2,,NaN,
300,,9602,15141,3863.593856,2,2,,NaN,
301,,9503,17536,4102.500337,1,2,,NaN,
302,,9700,15322,4070.258763,2,2,,NaN,
304,,8402,15412,6100.941152,1,1,,NaN,
305,,8600,14321,9993.232854,1,2,,NaN,
306,,6500,14110,2128.045753,2,2,,NaN,
307,,8600,19112,6830.583083,1,2,,NaN,
308,,9700,19111,5498.065809,2,2,,NaN,
309,,8600,14120,2475.707141,2,1,,NaN,
310,,1300,14120,3425.77869,2,2,,NaN,
311,,4808,15223,4514.456052,1,2,,NaN,
313,,4000,17112,4178.954073,1,2,,NaN,
314,,4000,17112,2926.09161,1,2,,NaN,
315,,4903,18331,4667.055559,1,2,,NaN,
316,,9700,15321,3283.851481,2,2,,NaN,
317,,6900,14311,10453.71069,1,2,,NaN,
318,,9700,19111,2710.490668,2,2,,NaN,
319,,4000,17112,5063.64307,1,2,,NaN,
320,,4000,17112,3024.747768,1,2,,NaN,
321,,9700,19111,5376.863023,2,2,,NaN,
322,,8501,12330,3292.496476,2,1,,NaN,
323,,9700,19111,3675.100113,2,2,,NaN,
324,,8501,19112,7955.049866,2,2,,NaN,
325,,1400,17531,4983.752302,2,2,,NaN,
326,,5300,18321,12652.68823,1,2,,NaN,
327,,4904,14110,1266.543751,1,2,,NaN,
328,,4000,17221,1727.72194,1,2,,NaN,
329,,4903,19312,4150.151346,1,2,,NaN,
330,,1300,17532,1231.794371,2,1,,NaN,
331,,4502,17231,4764.981095,1,2,,NaN,
332,,1003,17513,743.7019408,1,2,,NaN,
333,,8000,15414,2223.49441,1,2,,NaN,
334,,4000,17112,2116.257956,1,2,,NaN,
335,,4810,19520,1326.834417,1,2,,NaN,
336,,6100,17422,1860.120189,1,2,,NaN,
337,,8600,13221,3678.886434,1,2,,NaN,
338,,9700,13221,2967.738276,2,2,,NaN,
339,,8401,14226,6985.525761,2,1,,NaN,
340,,4000,17112,12943.12453,1,2,,NaN,
341,,4000,17112,4119.101168,1,2,,NaN,
342,,8800,19412,1214.29447,2,3,,NaN,
343,,4807,15223,2884.455342,2,2,,NaN,
344,,2002,18343,3389.549251,1,2,,NaN,
345,,9700,19111,2017.944225,2,2,,NaN,
346,,9700,19111,1988.679364,2,2,,NaN,
347,,9700,15322,2142.819171,2,2,,NaN,
348,,8600,13221,5267.417056,1,1,,NaN,
349,,4803,15221,776.0832079,2,2,,NaN,
351,,8501,12351,1611.102943,2,1,,NaN,
352,,4503,11420,240.1244188,2,2,,NaN,
353,,8600,13221,963.178267,2,2,,NaN,
355,,8509,12359,402.6333085,2,2,,NaN,
356,,4808,15221,1234.896901,2,2,,NaN,
357,,4805,15223,1968.842221,1,2,,NaN,
359,,8101,19613,375.9261332,1,3,,NaN,
361,,4801,15223,863.3768526,1,2,,NaN,
362,,6000,14226,2150.896433,2,2,,NaN,
363,,9700,19111,2094.974894,2,2,,NaN,
364,,4803,15223,907.8891784,2,2,,NaN,
365,,8401,12635,1150.890003,2,1,,NaN,
366,,1000,11120,309.6604078,1,2,,NaN,
367,,9100,19112,790.4553976,2,4,,NaN,
368,,9700,15322,380.3088591,2,2,,NaN,
369,,8600,13221,1127.96393,2,2,,NaN,
370,,8501,12330,277.5047242,2,1,,NaN,
371,,9700,19111,715.3691827,2,2,,NaN,
372,,9700,19111,1883.522668,2,2,,NaN,
373,,9302,15223,2062.658667,2,2,,NaN,
374,,3200,17313,1325.047208,2,2,,NaN,
375,,9501,13513,1658.099845,1,2,,NaN,
376,,8800,15120,1517.817665,2,2,,NaN,
377,,4807,15223,1556.01133,2,2,,NaN,
378,,4805,15223,9326.852494,1,2,,NaN,
379,,5601,19321,2137.220572,1,2,,NaN,
380,,8101,19334,1814.985683,1,2,,NaN,
381,,4000,17126,494.523181,1,2,,NaN,
382,,1902,14323,1908.232172,1,2,,NaN,
383,,6300,15222,1351.507348,1,2,,NaN,
384,,9301,13422,1493.393767,1,2,,NaN,
385,,8600,13221,2339.768258,1,2,,NaN,
386,,4000,17131,1487.014156,1,2,,NaN,
387,,4807,15223,1983.162054,1,2,,NaN,
388,,4000,17112,884.9245135,1,2,,NaN,
389,,5300,18321,2173.164809,1,2,,NaN,
390,,5601,15230,595.8866732,2,2,,NaN,
391,,4810,19520,920.4761383,1,2,,NaN,
392,,8600,19112,811.6515206,2,1,,NaN,
393,,8402,15413,570.1149378,1,1,,NaN,
394,,4803,15221,1121.044092,2,2,,NaN,
396,,1000,15241,438.5783525,2,2,,NaN,
397,,8600,18157,197.1206143,2,1,,NaN,
398,,9700,15311,1026.966235,2,2,,NaN,
399,,9700,15212,725.8092326,2,2,,NaN,
400,,4000,17131,804.6795608,1,2,,NaN,
401,,5202,18343,748.5996978,1,2,,NaN,
402,,4000,17131,414.3334323,1,2,,NaN,
403,,4807,15221,784.3451869,1,2,,NaN,
404,,4803,15223,524.0513528,2,2,,NaN,
405,,8101,19112,575.2338641,2,2,,NaN,
406,,8101,19111,228.4494164,2,2,,NaN,
407,,5601,19412,333.4029829,2,2,,NaN,
408,,8600,13344,483.2697289,2,2,,NaN,
409,,8102,15153,579.2163569,2,2,,NaN,
410,,4000,17112,897.2196999,1,2,,NaN,
411,,1000,14321,1583.898648,1,2,,NaN,
412,,9700,15311,1744.424843,2,2,,NaN,
413,,8101,19112,1957.579868,2,2,,NaN,
414,,7400,12166,830.1979263,1,2,,NaN,
415,,6900,19112,3093.776367,2,2,,NaN,
416,,2500,17212,454.8018767,1,2,,NaN,
417,,9700,15311,649.2381226,2,2,,NaN,
418,,2500,17223,1405.523196,1,2,,NaN,
419,,4000,17126,2220.560488,1,2,,NaN,
420,,8501,12413,867.0196926,2,1,,NaN,
421,,4803,15221,1055.827455,2,2,,NaN,
422,,4803,18321,455.8215348,2,2,,NaN,
