algorithm,resolution,num_communities,seed,modularity
infomap,1.609913946183311,4,50180,0.35048504704207495
infomap,1.609913946183311,4,50469,0.3557973661338198
infomap,1.609913946183311,43,2110,0.4114830503491785
infomap,1.609913946183311,5,9373,0.3486668507767485
infomap,1.609913946183311,5,3289,0.38913700620169595
infomap,1.609913946183311,47,54621,0.4039068513604851
infomap,1.609913946183311,5,21588,0.34481088630624246
infomap,1.609913946183311,4,23019,0.35870552397592537
infomap,1.609913946183311,45,57408,0.39691959426998485
infomap,1.609913946183311,44,18144,0.41075885447152316
infomap,1.8634536380731554,7,43667,0.4699165295784949
infomap,1.8634536380731554,7,55824,0.4966261955907974
infomap,1.8634536380731554,7,14480,0.4623885888103757
infomap,1.8634536380731554,8,57991,0.4924704356600305
infomap,1.8634536380731554,8,54596,0.49194732267337354
infomap,1.8634536380731554,7,50180,0.4606001907776101
infomap,1.8634536380731554,8,50469,0.4959181319198613
infomap,1.8634536380731554,7,2110,0.4894430651105874
infomap,1.8634536380731554,8,9373,0.4858043932814419
infomap,1.8634536380731554,7,3289,0.48898796971727465
infomap,1.8634536380731554,7,54621,0.485476552258987
infomap,1.8634536380731554,7,21588,0.4007755889579119
infomap,1.8634536380731554,4,23019,0.35920050947566146
infomap,1.8634536380731554,6,57408,0.42246896869349504
infomap,1.8634536380731554,8,18144,0.48904230866523857
infomap,2.1569224053747607,9,43667,0.5017676927077431
infomap,2.1569224053747607,8,55824,0.4947771539688811
infomap,2.1569224053747607,8,14480,0.4912743015753422
infomap,2.1569224053747607,8,57991,0.5049449082748236
infomap,2.1569224053747607,8,54596,0.49108075367959736
infomap,2.1569224053747607,8,50180,0.49241208954004284
infomap,2.1569224053747607,8,50469,0.4956185335855064
infomap,2.1569224053747607,8,2110,0.4878776979529836
infomap,2.1569224053747607,8,9373,0.4856415122618557
infomap,2.1569224053747607,8,3289,0.48828744560576576
infomap,2.1569224053747607,8,54621,0.4826894008640835
infomap,2.1569224053747607,9,21588,0.5089831959249679
infomap,2.1569224053747607,9,23019,0.5068513750013405
infomap,2.1569224053747607,8,57408,0.5056587285613051
infomap,2.1569224053747607,8,18144,0.48947821012105025
infomap,2.496608537907183,10,43667,0.5038985265576402
infomap,2.496608537907183,7,55824,0.49296634384182947
infomap,2.496608537907183,9,14480,0.5080542231899728
infomap,2.496608537907183,10,57991,0.5024483017607073
infomap,2.496608537907183,9,54596,0.4880724476038669
infomap,2.496608537907183,9,50180,0.5094923549200759
infomap,2.496608537907183,8,50469,0.5124622771396966
infomap,2.496608537907183,9,2110,0.5054519886459057
infomap,2.496608537907183,9,9373,0.5103701993755608
infomap,2.496608537907183,9,3289,0.5064686977953532
infomap,2.496608537907183,9,54621,0.5034266602167539
infomap,2.496608537907183,10,21588,0.5061838749703474
infomap,2.496608537907183,9,23019,0.5074415611700601
infomap,2.496608537907183,9,57408,0.5061728182848206
infomap,2.496608537907183,9,18144,0.5145953132370149
infomap,2.8897906461628424,11,43667,0.5131302250299754
infomap,2.8897906461628424,10,55824,0.5173253648042502
infomap,2.8897906461628424,8,14480,0.5063648643685251
infomap,2.8897906461628424,11,57991,0.5186058751086676
infomap,2.8897906461628424,10,54596,0.5225470760520111
infomap,2.8897906461628424,11,50180,0.5181832507552537
infomap,2.8897906461628424,9,50469,0.5279138569146745
infomap,2.8897906461628424,10,2110,0.5224153651939951
infomap,2.8897906461628424,10,9373,0.5254931272808914
infomap,2.8897906461628424,9,3289,0.5218324969755731
infomap,2.8897906461628424,10,54621,0.5174212087790492
infomap,2.8897906461628424,11,21588,0.520844474327452
infomap,2.8897906461628424,9,23019,0.5037978926504881
infomap,2.8897906461628424,9,57408,0.5210847411399688
infomap,2.8897906461628424,8,18144,0.5060624885759286
infomap,3.344893623431454,12,43667,0.513058738472065
infomap,3.344893623431454,9,55824,0.5133275388615511
infomap,3.344893623431454,9,14480,0.5155698069295513
infomap,3.344893623431454,11,57991,0.517727798648819
infomap,3.344893623431454,11,54596,0.5144676105485246
infomap,3.344893623431454,9,50180,0.5146622354882374
infomap,3.344893623431454,10,50469,0.5250496092972822
infomap,3.344893623431454,8,2110,0.48290354231540494
infomap,3.344893623431454,11,9373,0.5170525721202301
infomap,3.344893623431454,10,3289,0.5190899537915139
infomap,3.344893623431454,9,54621,0.5209369874989404
infomap,3.344893623431454,11,21588,0.49374932212030187
infomap,3.344893623431454,11,23019,0.5124235993701349
infomap,3.344893623431454,9,57408,0.5244819345022285
infomap,3.344893623431454,10,18144,0.516492134826422
infomap,3.871669169850972,12,43667,0.5139338403319041
infomap,3.871669169850972,13,55824,0.5064141140609196
infomap,3.871669169850972,10,14480,0.5108590814621358
infomap,3.871669169850972,10,57991,0.5225138495782043
infomap,3.871669169850972,10,54596,0.5212626613447795
infomap,3.871669169850972,10,50180,0.5195471913854631
infomap,3.871669169850972,11,50469,0.5218490604103377
infomap,3.871669169850972,11,2110,0.4838336668063931
infomap,3.871669169850972,12,9373,0.5130358884703724
infomap,3.871669169850972,11,3289,0.5114046296319636
infomap,3.871669169850972,11,54621,0.5176153519550828
infomap,3.871669169850972,12,21588,0.5174411367033347
infomap,3.871669169850972,12,23019,0.5082332195250666
infomap,3.871669169850972,10,57408,0.5160631054414055
infomap,3.871669169850972,11,18144,0.520197815207057
infomap,4.481404746557166,14,43667,0.5072422515472556
infomap,4.481404746557166,12,55824,0.5114946963295339
infomap,4.481404746557166,10,14480,0.5127363796966627
infomap,4.481404746557166,11,57991,0.519500796428152
infomap,4.481404746557166,12,54596,0.5140049037481176
infomap,4.481404746557166,12,50180,0.5142781618621476
