v182caes,original_v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
1700,1700,Fabricación de papel y productos de papel,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",27750.99,27750.99,9.19,0.71,8.8,0.0,100.0,0.0,4.94,1.39,44.13,17.24,42.0
1800,1800,Actividades de impresión,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",41975.35,41975.35,8.77,0.57,8.7,0.0,100.0,8.15,4.89,1.04,42.89,19.76,35.0
1900,1900,Fabricación de coque y de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2820.0,2820.0,,,,0.0,100.0,0.0,2.0,0.0,55.0,0.0,55.0
1902,1902,Fabricación de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",26805.31,26805.31,9.29,0.58,9.26,0.0,100.0,35.49,6.71,1.85,46.43,17.22,37.0
2000,2000,Fabricación de Sustancias y Productos Químicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",14676.0,14676.0,9.01,0.63,8.92,0.0,100.0,33.22,5.96,1.99,40.72,16.99,55.0
2001,2001,Fabricación de pinturas y barnices,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12581.0,12581.0,8.92,0.62,8.92,0.0,100.0,0.0,4.27,1.92,49.91,19.29,42.0
2002,2002,Fabricación de jabones y detergentes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",16076.25,16076.25,9.04,0.29,8.91,0.0,100.0,0.0,3.74,2.94,61.65,15.66,35.5
2009,2009,Fabricación de otros productos químicos n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",26600.0,26600.0,9.24,0.54,9.11,0.0,100.0,11.74,4.66,1.52,42.9,13.3,50.0
2100,2100,Fabricación de productos farmacéuticos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",71776.9,71776.9,8.84,0.59,8.75,0.0,100.0,1.2,5.33,2.23,45.37,17.29,46.0
2201,2201,Fabricación de productos de caucho,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",8253.29,8253.29,9.03,0.21,9.0,0.0,100.0,0.0,4.0,0.71,33.38,5.42,32.5
2202,2202,Fabricación de productos de plástico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",100261.13,100261.13,8.9,0.6,8.7,0.0,100.0,2.15,4.56,1.51,44.43,17.48,47.0
2301,2301,Fabricación de vidrio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",11949.0,11949.0,8.36,0.85,8.68,0.0,100.0,0.0,5.77,2.4,37.97,23.25,32.0
2309,2309,Fabricación de productos minerales no metálicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",115261.68,115261.68,8.42,1.1,8.52,0.0,100.0,2.55,3.9,1.72,44.51,18.62,38.0
2400,2400,Fabricación de metales,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",56491.21,56491.21,8.54,0.48,8.67,0.0,100.0,4.97,4.04,1.67,49.24,18.87,53.0
2500,2500,Fabricación de productos elaborados de metal,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",317508.19,317508.19,8.68,0.67,8.61,0.0,100.0,2.25,4.31,1.73,45.08,18.48,45.0
2601,2601,Fabricación de componentes electrónicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3516.73,3516.73,8.67,0.0,8.67,0.0,100.0,7.0,9.0,0.0,76.0,0.0,76.0
